id,details,rocket/rocket_name,mission_name,launch_date_utc,launch_success,links/video_link
19,"Following second stage separation, SpaceX performed a test flight which attempted to return the first stage of the Falcon 9 through the atmosphere and land it on an approximately 90-by-50-meter (300 ft x 160 ft) floating platform-called the autonomous spaceport drone ship. Many of the test objectives were achieved, including precision control of the rocket's descent to land on the platform at a specific point in the Atlantic ocean, and a large amount of test data was obtained from the first use of grid fin control surfaces used for more precise reentry positioning. The grid fin control system ran out of hydraulic fluid a minute before landing and the landing itself resulted in a crash.",Falcon 9,CRS-5,2015-01-10T09:47:00.000Z,true,https://www.youtube.com/watch?v=p7x-SumbynI
20,First launch under USAF's OSP 3 launch contract. First SpaceX launch to put a satellite to an orbit with an orbital altitude many times the distance to the Moon: Sun-Earth libration point L1. The first stage made a test flight descent to an over-ocean landing within 10 m (33 ft) of its intended target.,Falcon 9,DSCOVR,2015-02-11T23:03:00.000Z,true,https://www.youtube.com/watch?v=OvHJSIKP0Hg
21,"The launch was Boeing's first-ever conjoined launch of a lighter-weight dual-commsat stack that was specifically designed to take advantage of the lower-cost SpaceX Falcon 9 launch vehicle. Per satellite, launch costs were less than $30 million. The ABS satellite reached its final destination ahead of schedule and started operations on September 10.",Falcon 9,ABS-3A / Eutelsat 115W B,2015-03-02T03:50:00.000Z,true,https://www.youtube.com/watch?v=mN7lyaCBzT8
22,"Following the first-stage boost, SpaceX attempted a controlled-descent test of the first stage. The first stage contacted the ship, but soon tipped over due to excess lateral velocity caused by a stuck throttle valve resulting in a later-than-intended downthrottle.",Falcon 9,CRS-6,2015-04-14T20:10:00.000Z,true,https://www.youtube.com/watch?v=csVpa25iqH0
23,,Falcon 9,TürkmenÄlem 52°E / MonacoSAT,2015-04-27T23:03:00.000Z,true,https://www.youtube.com/watch?v=nBwAYT_ogj4
24,"Launch performance was nominal until an overpressure incident in the second-stage LOX tank, leading to vehicle breakup at T+150 seconds. The Dragon capsule survived the explosion but was lost upon splashdown because its software did not contain provisions for parachute deployment on launch vehicle failure.",Falcon 9,CRS-7,2015-06-28T14:21:00.000Z,false,https://www.youtube.com/watch?v=PuNymhcTtSQ
25,"Total payload mass was 2,034 kg (4,484 lb) : 11 satellites weighing 172 kg each, plus a 142-kg mass simulator. This was the first launch of the upgraded v1.1 variant (later called Falcon 9 Full Thrust), with a 30 percent power increase. Orbcomm had originally agreed to be the third flight of the enhanced-thrust rocket, but the change to the maiden flight position was announced in October 2015. SpaceX received a permit from the FAA to land the booster on solid ground at Cape Canaveral, and succeeded.",Falcon 9,OG-2 Mission 2,2015-12-22T01:29:00.000Z,true,https://www.youtube.com/watch?v=O5bTbVbe4e4
26,"First launch of NASA and NOAA joint science mission under the NLS II launch contract (not related to NASA CRS or USAF OSP3 contracts). Last launch of the original Falcon 9 v1.1 launch vehicle. The Jason-3 satellite was successfully deployed to target orbit. SpaceX again attempted a recovery of the first stage booster by landing on an autonomous drone ship; this time located in the Pacific Ocean. The first stage did achieve a soft-landing on the ship, but a lockout on one of the landing legs failed to latch, so that the booster fell over and exploded.",Falcon 9,Jason 3,2016-01-17T15:42:00.000Z,true,https://www.youtube.com/watch?v=ivdKRJzl6y0
27,"Second launch of the enhanced Falcon 9 Full Thrust launch vehicle. Following the launch, SpaceX attempted an experimental landing test to a drone ship, although a successful landing was not expected because launch mass exceeded previously indicated limit for a GTO there was little fuel left. As predicted, booster recovery failed: the spent first stage ""landed hard"", but the controlled-descent, atmospheric re-entry and navigation to the drone ship were successful and returned significant test data on bringing back high-energy Falcon 9s.",Falcon 9,SES-9,2016-03-04T23:35:00.000Z,true,https://www.youtube.com/watch?v=muDPSyO7-A0
28,"Dragon carried over 1500 kg of supplies and delivered (stowed in its trunk) the inflatable Bigelow Expandable Activity Module (BEAM) to the ISS for two years of in-orbit tests. The rocket's first stage landed smoothly on SpaceX's autonomous spaceport drone ship 9 minutes after liftoff, making this the first ever successful landing of a rocket booster on a ship at sea as part of an orbital launch. The first stage B1021 was later also the first orbital booster to be used again, when launching SES-10 on March 30, 2017.",Falcon 9,CRS-8,2016-04-08T20:43:00.000Z,true,https://www.youtube.com/watch?v=7pUAydjne5M
29,"Launched the JCSAT 14 communications satellite for Tokyo-based SKY Perfect JSAT Corp. JCSAT 14 will support data networks, television broadcasters and mobile communications users in Japan, East Asia, Russia, Oceania, Hawaii and other Pacific islands. This was the first time a booster successfully landed after a GTO mission.",Falcon 9,JCSAT-2B,2016-05-06T05:21:00.000Z,true,https://www.youtube.com/watch?v=L0bMeDj76ig
30,"Manufactured by Orbital ATK, the 3,100-kilogram (6,800 lb) Thaicom 8 communications satellite will serve Thailand, India and Africa from the 78.5° East geostationary location. It is equipped with 24 active Ku-band transponders.",Falcon 9,Thaicom 8,2016-05-27T21:39:00.000Z,true,https://www.youtube.com/watch?v=zBYC4f79iXc
31,"One year after pioneering this technique on flight 16, Falcon again launched two Boeing 702SP gridded ion thruster satellites in a dual-stack configuration, with the two customers sharing the rocket and mission costs. First stage landing attempt on drone ship failed on landing due to low thrust on one of the three landing engines.",Falcon 9,ABS-2A / Eutelsat 117W B,2016-06-15T14:29:00.000Z,true,https://www.youtube.com/watch?v=gLNmtUEvI5A
32,"Among other cargo, an International Docking Adapter (IDA-2) was carried to the ISS. This mission had a successful first-stage landing at Cape Canaveral.*Including the reusable Dragon Capsule, total payload to orbit was 6457 kg.",Falcon 9,CRS-9,2016-07-18T04:45:00.000Z,true,https://www.youtube.com/watch?v=ThIdCuSsJh8
33,"First attempt to touch down from a ballistic trajectory using a single-engine landing burn. All previous landings from a ballistic trajectory had fired three engines on the landing-burn, which provided more braking force, but subjected the vehicle to greater structural stresses. The single-engine landing burn takes more time and fuel, but puts less stress on the vehicle.",Falcon 9,JCSAT-16,2016-08-14T05:26:00.000Z,true,https://www.youtube.com/watch?v=QZTCEO0gvLo
34,"The rocket and Amos-6 payload were lost in a launch pad explosion on September 1, 2016 during propellant fill prior to a static fire test. The pad was clear of personnel and there were no injuries.",Falcon 9,Amos-6,2016-09-01T13:07:00.000Z,false,https://www.youtube.com/watch?v=_BgJEXQkjNQ
35,"Return-to-flight mission after the loss of Amos-6 in September 2016. Iridium NEXT will replace the original Iridium constellation, launched in the late 1990s. Each Falcon mission will carry 10 satellites, with a goal to complete deployment of the 66 plus 9 spare satellite constellation by mid 2018. The first two Iridium qualification units were supposed to ride a Dnepr rocket in April 2016 but were delayed, so Iridium decided to qualify the first batch of 10 satellites instead.",Falcon 9,Iridium NEXT Mission 1,2017-01-14T17:54:00.000Z,true,https://www.youtube.com/watch?v=7WimRhydggo
36,"First Falcon 9 flight from the historic LC-39A launchpad at Kennedy Space Center, carrying supplies and materials to support dozens of science and research investigations scheduled during ISS Expeditions 50 and 51. The first stage returned to launch site and landed at LZ-1.",Falcon 9,CRS-10,2017-02-19T14:39:00.000Z,true,https://www.youtube.com/watch?v=giNhaEzv_PI
37,"Communications satellite for EchoStar Corp. EchoStar XXIII, based on a spare platform from the cancelled CMBStar 1 satellite program, will provide direct-to-home television broadcast services over Brazil. There was no attempt at a first-stage recovery so this rocket did not have landing legs or grid fins.",Falcon 9,EchoStar 23,2017-03-16T06:00:00.000Z,true,https://www.youtube.com/watch?v=lZmqbL-hz7U
38,"First payload to fly on a reused first stage, B1021, previously launched with CRS-8, which also landed a second time. In what is also a first, the payload fairing remained intact after a successful splashdown achieved with thrusters and a steerable parachute.",Falcon 9,SES-10,2017-03-30T22:27:00.000Z,true,https://www.youtube.com/watch?v=xsZSXav4wI8
39,"First launch under SpaceX's certification for national security space missions, which allows SpaceX to contract launch services for classified payloads. Second-stage speed and altitude telemetry were omitted from the launch webcast, which displayed first-stage telemetry instead, with continuous tracking of the booster from liftoff to landing for the first time.",Falcon 9,NROL-76,2017-05-01T11:15:00.000Z,true,https://www.youtube.com/watch?v=EzQpkQ1etdA
40,"At 6,070 kg this was the heaviest payload launched to GTO by a Falcon 9 rocket. The launch was originally scheduled for the Falcon Heavy, but performance improvements allowed the mission to be carried out by an expendable Falcon 9 instead.",Falcon 9,Inmarsat-5 F4,2017-05-15T23:21:00.000Z,true,https://www.youtube.com/watch?v=ynMYE64IEKs
41,"This mission delivered the Neutron Star Interior Composition Explorer (NICER) to the ISS, along with the MUSES Earth imaging platform and ROSA solar array. For the first time, this mission launched a refurbished Dragon capsule, serial number C106 which first flew in September 2014 on the CRS-4 mission. Originally scheduled to launch on June 1, but was scrubbed due to inclement weather.",Falcon 9,CRS-11,2017-06-03T21:07:00.000Z,true,https://www.youtube.com/watch?v=JuZBOUMsYws
42,Second time a booster will be reused: Second flight of B1029 after the Iridium mission of January 2017. The satellite will be the first commercial Bulgarian-owned communications satellite and it will provide television broadcasts and other communications services over southeast Europe.,Falcon 9,BulgariaSat-1,2017-06-23T19:10:00.000Z,true,https://www.youtube.com/watch?v=Y8mLi-rRTh8
43,First flight with titanium grid fins to improve control authority and better cope with heat during re-entry.,Falcon 9,Iridium NEXT Mission 2,2017-06-25T20:25:00.000Z,true,https://www.youtube.com/watch?v=7tIwZg8F9b8
44,"Due to the constraints of sending a heavy satellite (~6,000 kg) to GTO, the rocket will fly in its expendable configuration and the first-stage booster will not be recovered.",Falcon 9,Intelsat 35e,2017-07-05T23:35:00.000Z,true,https://www.youtube.com/watch?v=MIHVPCj25Z0
45,"Dragon is expected to carry 2,349 kg (5,179 lb) of pressurized mass and 961 kg (2,119 lb) unpressurized. The external payload manifested for this flight is the CREAM cosmic-ray detector. First flight of the Falcon 9 Block 4 upgrade. Last flight of a newly-built Dragon capsule; further missions will use refurbished spacecraft.",Falcon 9,CRS-12,2017-08-14T16:31:00.000Z,true,https://www.youtube.com/watch?v=vLxWsYx8dbo
46,Formosat-5 is an Earth observation satellite of the Taiwanese space agency. The SHERPA space tug by Spaceflight Industries was removed from the cargo manifest of this mission. The satellite has a mass of only 475 kg.,Falcon 9,FormoSat-5,2017-08-24T18:50:00.000Z,true,https://www.youtube.com/watch?v=J4u3ZN2g_MI
47,"Notable because Boeing is the primary contractor of the X-37B, which has until now been launched by ULA, a SpaceX competitor and Boeing partnership. Second flight of the Falcon 9 Block 4 upgrade.",Falcon 9,Boeing X-37B OTV-5,2017-09-07T13:50:00.000Z,true,https://www.youtube.com/watch?v=9M6Zvi-fFv4
48,Third of eight missions to launch Iridium's second generation constellation from VAFB,Falcon 9,Iridium NEXT Mission 3,2017-10-09T12:37:00.000Z,true,https://www.youtube.com/watch?v=SB4N4xF2B2w&feature=youtu.be
49,"Nineteenth comsat to GTO, also the fourth satellite launched for SES and second for Echostar. Third time a first stage booster will be reused.",Falcon 9,SES-11 / Echostar 105,2017-10-11T22:53:00.000Z,true,https://www.youtube.com/watch?v=iv1zeGSvhIw
50,"KoreaSat 5A is a Ku-band satellite capable of providing communication services from East Africa and Central Asia to southern India, Southeast Asia, the Philippines, Guam, Korea, and Japan. The satellite will be placed in GEO at 113Â° East Longitude, and will provide services ranging from broadband internet to broadcasting services and maritime communications.",Falcon 9,KoreaSat 5A,2017-10-30T19:34:00.000Z,true,https://www.youtube.com/watch?v=RUjH14vhLxA
51,Will reuse the Dragon capsule previously flown on CRS-6 and will reuse the booster from CRS-11.,Falcon 9,CRS-13,2017-12-15T15:36:00.000Z,true,https://www.youtube.com/watch?v=OPHbqY9LHCs
52,"Reusing the booster first used on Iridium-2, but will be flying expendable.",Falcon 9,Iridium NEXT Mission 4,2017-12-23T01:27:23.000Z,true,https://www.youtube.com/watch?v=wtdjCwo6d3Q
53,"Originally planned for mid-November 2017, the mission was delayed due to test results from the fairing of another customer. First-stage booster will attempt landing at LZ-1",Falcon 9,ZUMA,2018-01-08T01:00:00.000Z,true,https://www.youtube.com/watch?v=0PWu3BRxn60
54,"Reused booster from the classified NROL-76 mission in May 2017. Following a successful experimental ocean landing that used three engines, the booster unexpectedly remained intact; Elon Musk stated in a tweet that SpaceX will attempt to tow the booster to shore.",Falcon 9,SES-16 / GovSat-1,2018-01-31T21:25:00.000Z,true,https://www.youtube.com/watch?v=ScYUA51-POQ
55,"The launch was a success, and the side boosters landed simultaneously at adjacent ground pads. Drone ship landing of the central core failed. Final burn to heliocentric mars-earth orbit was successful after the second stage and payload passed through the Van Allen belts.",Falcon Heavy,Falcon Heavy Test Flight,2018-02-06T20:45:00.000Z,true,https://www.youtube.com/watch?v=wbSwFU6tY1c
56,First flight with fairing 2.0. Will also carry two SpaceX test satellites for the upcoming Starlink constellation.,Falcon 9,Paz / Starlink Demo,2018-02-22T14:17:00.000Z,true,https://www.youtube.com/watch?v=-p-PToD2URA
57,Launched with landing legs and titanium grid fins. Did not attempt a landing due to 'unfavorable weather conditions in the recovery area'.,Falcon 9,Hispasat 30W-6,2018-03-06T05:33:00.000Z,true,https://www.youtube.com/watch?v=Kpfrp-GMKKM
58,"Fifth Iridium NEXT mission to deploy ten Iridium NEXT satellites. Reused booster from third Iridium flight, and although controlled descent was performed, the booster was expended into the ocean. SpaceX planned a second recovery attempt of one half of the fairing using the specially modified boat Mr. Steven. However, the fairing's parafoil twisted during the recovery, which led to water impact at high speed",Falcon 9,Iridium NEXT Mission 5,2018-03-30T14:13:51.000Z,true,https://www.youtube.com/watch?v=mp0TW8vkCLg
59,"The launch used a refurbished booster (from CRS-12) for the 11th time, and a refurbished capsule (C110 from CRS-8) for the third time. External payloads include a materials research platform MISSE-FF phase 3 of the Robotic Refueling Mission TSIS, heliophysics sensor several crystallization experiments, and the RemoveDebris spacecraft aimed at space junk removal. The booster was expended in order to test a new landing profile.",Falcon 9,CRS-14,2018-04-02T20:30:41.000Z,true,https://www.youtube.com/watch?v=BPQHG-LevZM
60,"Part of the Explorers program, this space telescope is intended for wide-field search of exoplanets transiting nearby stars. It is the first NASA high priority science mission launched by SpaceX. It was the first time SpaceX launched a scientific satellite not primarily intended for Earth observations. The second stage placed it into a high-Earth elliptical orbit, after which the satellite's own booster will perform complex maneuvers including a lunar flyby, and over the course of two months, reach a stable, 2:1 resonant orbit with the Moon. In January 2018, SpaceX received NASA's Launch Services Program Category 2 certification of its Falcon 9 'Full Thrust', certification which is required for launching medium risk missions like TESS. It was the last launch of a new Block 4 booster, and marked the 24th successful recovery of the booster. An experimental water landing was performed in order to attempt fairing recovery.",Falcon 9,TESS,2018-04-18T22:51:00.000Z,true,https://www.youtube.com/watch?v=aY-0uBIYYKk
61,First launch of a Block V first stage.,Falcon 9,Bangabandhu-1,2018-05-11T20:14:00.000Z,true,https://www.youtube.com/watch?v=rQEqKZ7CJlk
62,GFZ arranged a rideshare of GRACE-FO on a Falcon 9 with Iridium following the cancellation of their Dnepr launch contract in 2015. Iridium CEO Matt Desch disclosed in September 2017 that GRACE-FO would be launched on the sixth Iridium NEXT mission. The booster reuse turnaround was a record 4.5 months between flights.,Falcon 9,Iridium NEXT Mission 6,2018-05-22T19:47:58.000Z,true,https://www.youtube.com/watch?v=I_0GgKfwCSk
63,"SES-12, the replacement satellite for NSS-6, was successfully launched and deployed on June 4th, completing SpaceX's eleventh flight of 2018. According to SES Luxembourg, The SES-12 satellite will expand SES’s capabilities to provide direct-to-home (DTH) broadcasting, VSAT, Mobility and High Throughput Satellite (HTS) data connectivity services in the Middle East and the Asia-Pacific region, including rapidly growing markets such as India and Indonesia. [SES-12] will be co-located with SES-8",Falcon 9,SES-12,2018-06-04T04:45:00.000Z,true,https://www.youtube.com/watch?v=2hcM5hqQ45s
64,"Payload included MISSE-FF 2, ECOSTRESS, and a Latching End Effector. The refurbished booster featured a record 2.5 months period turnaround from its original launch of the TESS satellite — the fastest previous was 4.5 months. This was the last commercial flight of a Block 4 booster, which was expended into the Atlantic without landing legs and grid fins.",Falcon 9,CRS-15,2018-06-29T09:42:00.000Z,true,https://www.youtube.com/watch?v=ycMagB1s8XM
65,"SSL-manufactured communications satellite intended to be placed at 63° West over the Americas. At 7,075 kg, it became the heaviest commercial communications satellite ever launched.",Falcon 9,Telstar 19V,2018-07-22T05:50:00.000Z,true,https://www.youtube.com/watch?v=xybp6zLaGx4
66,"SpaceX's fourteenth flight of 2018 and seventh of eight launches in a half-a-billion-dollar contract with Iridium. Will use a Block 5 first stage, to be recovered in the Pacific Ocean. Only one mission will be left for Iridium, with 10 more satellites. First attempt to recover a Fairing with the upgraded net. Fairing recovery was not successful.",Falcon 9,Iridium NEXT Mission 7,2018-07-25T11:39:26.000Z,true,https://www.youtube.com/watch?v=vsDknmK30C0
67,SpaceX's fifteenth flight of 2018 launched the Merah Putih (also known as Telkom-4) geostationary communications satellite for Telkom Indonesia. It marked the first reuse of any Block 5 first stage; the booster B1046 had previously launched Bangabandhu-1. The stage was recovered and is expected to become the first Falcon 9 booster to fly three missions.,Falcon 9,Merah Putih,2018-08-07T05:18:00.000Z,true,https://www.youtube.com/watch?v=FjfQNBYv2IY
68,"SpaceX's sixteenth flight of 2018 launched the Telstar 18v GEO communication satellite for Telesat, the second launch for the canadian company in a few months. The first stage was a new Falcon 9 V1.2 Block 5 which was successfully recovered on OCISLY.",Falcon 9,Telstar 18V,2018-09-10T04:45:00.000Z,true,https://www.youtube.com/watch?v=Apw3xqwsG1U
69,"SpaceX's seventeenth flight of 2018 was the first launch of the Saocom Earth observation satellite constellation of the Argentine Space Agency CONAE. The second launch of Saocom 1B will happen in 2019. This flight marked the first RTLS launch out of Vandenberg, with a landing on the concrete pad at SLC-4W, very close to the launch pad.",Falcon 9,SAOCOM 1A,2018-10-08T02:22:00.000Z,true,https://www.youtube.com/watch?v=vr_C6LQ7mHc
70,SpaceX's eighteenth flight of 2018 was its first for Es'hailSat. Es'hail-2 is a communications satellite delivering television and internet to Qatar and the surrounding region. It was launched into a geostationary transfer orbit from LC-39A at Kennedy Space Center. The booster landed on OCISLY.,Falcon 9,Es’hail 2,2018-11-15T20:46:00.000Z,true,https://www.youtube.com/watch?v=PhTbzc-BqKs&feature=youtu.be
71,SpaceX's nineteenth flight of 2018 will fly SSO-A: SmallSat Express out of Vandenberg SLC-4E for Spaceflight. SSO-A is a rideshare to sun synchronus low earth orbit consisting of 64 individual microsatellites and cubesats. It is also likely to be the third flight of core B1046 which previously flew Bangabandhu-1 and Merah Putih. If this happens it will be the first time a Falcon 9 has flown more than two missions. ,Falcon 9,SSO-A,2018-12-03T18:34:00.000Z,true,https://www.youtube.com/watch?v=Wq8kS6UoOrQ
72,"SpaceX's 16th Crew Resupply Mission on behalf of NASA, with a total of 20 contracted flights. This will bring essential supplies to the International Space Station using SpaceX's reusable Dragon spacecraft. The Falcon 9 will launch from SLC-40 at Cape Canaveral Air Force Station. During the landing of the first stage, a grid fin hydraulic pump stalled, causing the core to enter an uncontrolled roll, and resulting in a (succesful) water landing.",Falcon 9,CRS-16,2018-12-05T18:16:00.000Z,true,https://www.youtube.com/watch?v=Esh1jHT9oTA
73,SpaceX's twenty-first flight of 2018 launched the first of the new GPS III satellites (Block IIIA) for the United States Air Force and was SpaceX's first EELV mission. The spacecraft was delivered to a MEO transfer orbit from SLC-40 at Cape Canaveral Air Force Station. This mission was the first to fly with the redesigned COPV on the first stage (B1054) as well as the second. The booster was expended.,Falcon 9,GPS III SV01,2018-12-23T13:51:00.000Z,true,https://youtu.be/yRiLPoy_Mzc
74,"SpaceX's first flight of 2019 will be the eighth and final launch of its planned Iridium flights. Delivering 10 satellites to low earth orbit, this brings the total up to 75 and completes the Iridium NEXT constellation. This mission launches from SLC-4E at Vandenberg AFB. The booster is expected to land on JRTI.",Falcon 9,Iridium NEXT Mission 8,2019-01-11T15:31:00.000Z,true,https://youtu.be/VshdafZvwrg
75,"SpaceX will launch this rideshare to GTO for Space Systems Loral (SSL). The primary payload for this mission is Nusantara Satu, a communications satellite built by SSL for the private Indonesian company PT Pasifik Satelit Nusantara (PSN). Spaceflight Industries' GTO-1 mission consists of two secondary payloads. One of those is Beresheet, the lunar lander built by the Israeli non-profit organization, SpaceIL. Beresheet will make its own way to the moon from GTO. The other secondary is Air Force Research Lab's (Space Situational Awareness) S5 mission, which hitches a ride to GEO aboard Nusantara Satu. This mission launches from SLC-40 at Cape Canaveral AFS. The booster is expected to land on OCISLY.",Falcon 9,Nusantara Satu (PSN-6) / S5 / Beresheet,2019-02-22T01:45:00.000Z,true,https://www.youtube.com/watch?v=XS0E35aYJcU
76,"Demonstration Mission 1 (DM-1) will launch Dragon 2 as part of NASA's Commercial Crew Transportation Capability program. This mission will demonstrate Dragon 2, and Falcon 9 in its configuration for crewed missions. DM-1 will launch from LC-39A at Kennedy Space Center, likely carrying some cargo to the International Space Station. The booster is expected to land on OCISLY.",Falcon 9,CCtCap Demo Mission 1,2019-03-02T07:45:00.000Z,true,https://youtu.be/2ZL0tbOZYhE
77,"SpaceX will launch Arabsat 6A to a geostationary transfer orbit from SLC-39A, KSC. The satellite is a geostationary telecommunications satellite built by Lockheed Martin for the Saudi Arabian company Arabsat. This will be the first operational flight of Falcon Heavy, and also the first Block 5 Falcon Heavy. All three cores will be new Block 5 cores. The side cores are expected to land at LZ-1 and LZ-2, and the center core is expected to land on OCISLY.",Falcon Heavy,ArabSat 6A,2019-04-11T22:35:00.000Z,true,https://youtu.be/TXMGu2d8c8g
78,"SpaceX's 17th Commercial Resupply Services mission for NASA out of a total of 20 contracted flights, this mission brings essential supplies to the International Space Station using SpaceX's reusable Dragon 1 spacecraft. The external payloads for this mission include Orbital Carbon Observatory 3 and Space Test Program-Houston 6. The Falcon 9 launches from SLC-40 at Cape Canaveral AFS. The booster was expected to land at LZ-1, however, due to the ongoing investigation and clean-up following the Crew Dragon testing incident, it is likely to land on OCISLY instead.
    ",Falcon 9,CRS-17,2019-05-04T06:48:00.000Z,true,https://youtu.be/AQFhX5TvP0M
79,"SpaceX will launch dozens of Starlink demonstration satellites from SLC-40, Cape Canaveral AFS. Starlink is a low Earth orbit broadband internet constellation developed and owned by SpaceX which will eventually consist of nearly 12 000 satellites and will provide low latency internet service to ground terminals around the world. Two prototype satellites, Microsats 2a and 2b, were launched from Vandenberg AFB in February 2018. The booster for this mission will land on OCISLY.",Falcon 9,Starlink v0.9,2019-05-24T02:30:00.000Z,true,https://www.youtube.com/watch?v=riBaVeDTEWI
80,"SpaceX is launching the three satellite RADARSAT Constellation Mission into Sun Synchronous orbit from SLC-4E, VAFB. The RCM spacecraft are synthetic aperture radar (SAR) Earth observation satellites built by the Canadian space company, MDA, for the Canadian Space Agency. This mission was delayed when the originally slated booster failed to land after CRS-16. The booster is expected to return to LZ-4.",Falcon 9,RADARSAT Constellation,2019-06-12T14:17:00.000Z,true,https://youtu.be/8A2nJd9Urk8
81,"Space Test Program 2 is a rideshare managed by the U.S. Air Force Space and Missile Systems Center (SMC), launching from LC-39A, KSC. Most of the spacecraft will be delivered into low Earth orbit (LEO) in two deployment sequences separated by a second stage burn. These LEO payloads include the six Taiwan and United States owned COSMIC-2 microsatellites, the Planetary Society's LightSail-B demonstrator cubesat, and others. The third and final deployment will be the Air Force Research Lab's DSX spacecraft, which will be delivered to a medium Earth orbit (MEO). This mission will reuse the side cores from Arabsat 6A, which will return to LZ-1, and LZ-2. The new center core will boost back to land on OCISLY less than 40 km from the launch site.",Falcon Heavy,STP-2,2019-06-25T03:30:00.000Z,true,https://youtu.be/WxH4CAlhtiQ
